Question,Numbers,Equation,Answer,group_nums,Grade,Type,Body,Ques_Statement
number0 개의 빨간 사과와 and number1 초록 사과가 바구니 안에 있습니다. 총 몇 개의 사과가 바구니 안에 있습니까?,7 2,+ number0 number1,9.0,"[0, 1, 2, 3, 4, 5, 6, 10, 16, 17, 18]",1,Addition,number0 개의 빨간 사과와 and number1 초록 사과가 바구니 안에 있습니다. ,총 몇 개의 사과가 바구니 안에 있습니까?
상자 안에 number0개의 공이 있습니다. 석진이가 number2개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?, 9 5,+ number0 number1,14.0,"[0, 1, 2, 3, 4, 5, 6, 10, 16, 17, 18]",1,Addition,상자 안에 number0개의 공이 있습니다. 석진이가 number2개의 공을 상자 안에 더 넣었습니다. ,상자 안에 있는 공은 모두 몇 개입니까?
number0 개의 빨간 사과와 and number1 초록 사과가 바구니 안에 있습니다. 총 몇 개의 사과가 바구니 안에 있습니까?,7 2,+ number0 number1,9.0,"[0, 1, 2, 3, 4, 5, 6, 10, 16, 17, 18]",1,Addition,number0 개의 빨간 사과와 and number1 초록 사과가 바구니 안에 있습니다. ,총 몇 개의 사과가 바구니 안에 있습니까?
상자 안에 number0개의 공이 있습니다. 석진이가 number2개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?, 9 5,+ number0 number1,14.0,"[0, 1, 2, 3, 4, 5, 6, 10, 16, 17, 18]",1,Addition,상자 안에 number0개의 공이 있습니다. 석진이가 number2개의 공을 상자 안에 더 넣었습니다. ,상자 안에 있는 공은 모두 몇 개입니까?
number0 개의 빨간 사과와 and number1 초록 사과가 바구니 안에 있습니다. 총 몇 개의 사과가 바구니 안에 있습니까?,7 2,+ number0 number1,9.0,"[0, 1, 2, 3, 4, 5, 6, 10, 16, 17, 18]",1,Addition,number0 개의 빨간 사과와 and number1 초록 사과가 바구니 안에 있습니다. ,총 몇 개의 사과가 바구니 안에 있습니까?
상자 안에 number0개의 공이 있습니다. 석진이가 number2개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?, 9 5,+ number0 number1,14.0,"[0, 1, 2, 3, 4, 5, 6, 10, 16, 17, 18]",1,Addition,상자 안에 number0개의 공이 있습니다. 석진이가 number2개의 공을 상자 안에 더 넣었습니다. ,상자 안에 있는 공은 모두 몇 개입니까?
number0 개의 빨간 사과와 and number1 초록 사과가 바구니 안에 있습니다. 총 몇 개의 사과가 바구니 안에 있습니까?,7 2,+ number0 number1,9.0,"[0, 1, 2, 3, 4, 5, 6, 10, 16, 17, 18]",1,Addition,number0 개의 빨간 사과와 and number1 초록 사과가 바구니 안에 있습니다. ,총 몇 개의 사과가 바구니 안에 있습니까?
상자 안에 number0개의 공이 있습니다. 석진이가 number2개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?, 9 5,+ number0 number1,14.0,"[0, 1, 2, 3, 4, 5, 6, 10, 16, 17, 18]",1,Addition,상자 안에 number0개의 공이 있습니다. 석진이가 number2개의 공을 상자 안에 더 넣었습니다. ,상자 안에 있는 공은 모두 몇 개입니까?
number0 개의 빨간 사과와 and number1 초록 사과가 바구니 안에 있습니다. 총 몇 개의 사과가 바구니 안에 있습니까?,7 2,+ number0 number1,9.0,"[0, 1, 2, 3, 4, 5, 6, 10, 16, 17, 18]",1,Addition,number0 개의 빨간 사과와 and number1 초록 사과가 바구니 안에 있습니다. ,총 몇 개의 사과가 바구니 안에 있습니까?
상자 안에 number0개의 공이 있습니다. 석진이가 number2개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?, 9 5,+ number0 number1,14.0,"[0, 1, 2, 3, 4, 5, 6, 10, 16, 17, 18]",1,Addition,상자 안에 number0개의 공이 있습니다. 석진이가 number2개의 공을 상자 안에 더 넣었습니다. ,상자 안에 있는 공은 모두 몇 개입니까?
number0 개의 빨간 사과와 and number1 초록 사과가 바구니 안에 있습니다. 총 몇 개의 사과가 바구니 안에 있습니까?,7 2,+ number0 number1,9.0,"[0, 1, 2, 3, 4, 5, 6, 10, 16, 17, 18]",1,Addition,number0 개의 빨간 사과와 and number1 초록 사과가 바구니 안에 있습니다. ,총 몇 개의 사과가 바구니 안에 있습니까?
